,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Salalah,OM,71.6,17.02,54.09,HAMDAN PLAZA HOTEL
1,Olonets,RU,44.73,60.98,32.97,Country House on Savodaya 9
3,Hermanus,ZA,55.99,-34.42,19.23,Misty Waves Boutique Hotel
8,Vestmannaeyjar,IS,40.75,63.44,-20.27,Glamping & Camping
11,Rikitea,PF,71.49,-23.12,-134.97,Pension Maro'i
13,Farafangana,MG,73.51,-22.82,47.83,Austral Hotel
16,Port Hardy,CA,44.6,50.7,-127.42,Airport Inn
18,Lebu,CL,52.86,-37.62,-73.65,Hostal Las Lilas
19,Hobart,AU,57.99,-42.88,147.33,St Ives Hobart Accommodation Tasmania
20,Saint-Philippe,RE,69.8,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
21,Kodiak,US,44.6,57.79,-152.41,Best Western Kodiak Inn and Convention Center
22,Ushuaia,AR,53.6,-54.8,-68.3,Albatros Hotel
23,Kropotkin,RU,48.0,45.44,40.58,Hotel Europe Kropotkin
24,Ribeira Grande,PT,59.45,38.52,-28.7,Quinta da Meia Eira
25,Sao Joao Da Barra,BR,70.65,-21.64,-41.05,Pousada Porto De Canoas
27,Punta Arenas,CL,51.8,-53.15,-70.92,Hotel Dreams Del Estrecho
29,Port Alfred,ZA,62.74,-33.59,26.89,The Halyards Hotel
33,Lubango,AO,62.28,-14.92,13.49,Hotel Serra da Chela
34,Busselton,AU,75.0,-33.65,115.33,Observatory Guest House
35,Chuy,UY,60.64,-33.7,-53.46,Nuevo Hotel Plaza
36,Faya,SA,57.2,18.39,42.45,مقبرة ال مجمل
39,Torres,BR,64.17,-29.34,-49.73,Farol Hotel
41,Mataura,NZ,52.27,-46.19,168.86,Ellie's Villa
45,Mahon,ES,66.2,39.89,4.27,ARTIEM Capri
47,East London,ZA,63.52,-33.02,27.91,Tu Casa
48,Southbridge,US,57.99,42.08,-72.03,Southbridge Hotel & Conference Center
49,Arraial Do Cabo,BR,71.6,-22.97,-42.03,Pousada Porto Praia
52,Chalus,IR,62.6,36.66,51.42,نظام مهندسي ساختمان چالوس
53,Narsaq,GL,32.0,60.92,-46.05,Hotel Narsaq
