,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Salalah,17.02,54.09,71.6,78,20,4.7,OM,2020-11-07 01:09:30
1,Olonets,60.98,32.97,44.73,74,19,13.11,RU,2020-11-07 01:09:30
2,Santa Rosa,14.31,121.11,84.99,74,75,5.5,PH,2020-11-07 01:09:31
3,Hermanus,-34.42,19.23,55.99,90,89,8.99,ZA,2020-11-07 01:00:23
4,Kuytun,54.34,101.5,14.59,96,100,5.59,RU,2020-11-07 01:09:31
5,Buala,-8.14,159.59,85.69,65,18,3.04,SB,2020-11-07 01:04:49
6,Itoman,26.12,127.67,82.4,78,20,5.82,JP,2020-11-07 01:05:49
7,Miri,4.41,114.01,82.4,83,20,4.7,MY,2020-11-07 01:09:31
8,Vestmannaeyjar,63.44,-20.27,40.75,69,99,16.44,IS,2020-11-07 01:04:36
9,Vanimo,-2.67,141.3,86.49,60,72,6.22,PG,2020-11-07 01:09:32
10,Barguzin,53.62,109.62,14.74,88,21,6.67,RU,2020-11-07 01:09:32
11,Rikitea,-23.12,-134.97,71.49,75,24,17.98,PF,2020-11-07 01:04:32
12,Vaini,-21.2,-175.2,78.8,74,40,10.29,TO,2020-11-07 01:04:35
13,Farafangana,-22.82,47.83,73.51,88,81,10.92,MG,2020-11-07 01:09:32
14,Doha,25.29,51.53,82.4,61,0,6.93,QA,2020-11-07 01:09:32
15,Arman,59.7,150.17,12.25,86,100,8.97,RU,2020-11-07 01:04:55
16,Port Hardy,50.7,-127.42,44.6,70,40,14.99,CA,2020-11-07 01:04:36
17,Albany,42.6,-73.97,55.0,71,20,5.41,US,2020-11-07 01:04:42
18,Lebu,-37.62,-73.65,52.86,79,0,20.62,CL,2020-11-07 01:09:33
19,Hobart,-42.88,147.33,57.99,46,40,12.75,AU,2020-11-07 01:02:39
20,Saint-Philippe,-21.36,55.77,69.8,68,0,6.93,RE,2020-11-07 01:04:41
21,Kodiak,57.79,-152.41,44.6,65,20,1.07,US,2020-11-07 01:09:33
22,Ushuaia,-54.8,-68.3,53.6,32,40,12.75,AR,2020-11-07 01:04:29
23,Kropotkin,45.44,40.58,48.0,74,78,12.44,RU,2020-11-07 01:09:33
24,Ribeira Grande,38.52,-28.7,59.45,67,98,28.39,PT,2020-11-07 01:00:30
25,Sao Joao Da Barra,-21.64,-41.05,70.65,83,100,10.47,BR,2020-11-07 01:09:34
26,Athabasca,54.72,-113.29,24.8,73,73,2.24,CA,2020-11-07 01:09:34
27,Punta Arenas,-53.15,-70.92,51.8,53,75,12.75,CL,2020-11-07 01:02:17
28,Sembakung,3.82,117.25,79.99,85,100,2.55,ID,2020-11-07 01:09:34
29,Port Alfred,-33.59,26.89,62.74,69,100,4.03,ZA,2020-11-07 01:04:50
30,Hervey Bay,-25.3,152.85,80.01,54,37,4.0,AU,2020-11-07 01:09:35
31,Hilo,19.73,-155.09,82.4,69,75,10.29,US,2020-11-07 01:00:07
32,Mount Isa,-20.73,139.5,87.8,8,0,14.99,AU,2020-11-07 01:09:35
33,Lubango,-14.92,13.49,62.28,47,62,3.65,AO,2020-11-07 01:09:35
34,Busselton,-33.65,115.33,75.0,37,0,9.13,AU,2020-11-07 01:04:28
35,Chuy,-33.7,-53.46,60.64,92,100,8.68,UY,2020-11-07 01:09:35
36,Faya,18.39,42.45,57.2,82,0,1.92,SA,2020-11-07 01:09:35
37,Key Largo,25.09,-80.45,79.0,69,100,17.0,US,2020-11-07 01:09:36
38,Kapaa,22.08,-159.32,82.4,74,75,12.75,US,2020-11-07 01:04:30
39,Torres,-29.34,-49.73,64.17,91,24,5.82,BR,2020-11-07 01:09:36
40,Atuona,-9.8,-139.03,78.39,75,90,14.99,PF,2020-11-07 01:04:35
41,Mataura,-46.19,168.86,52.27,77,99,9.48,NZ,2020-11-07 01:04:32
42,Cabo San Lucas,22.89,-109.91,80.6,74,20,5.82,MX,2020-11-07 01:04:44
43,Natal,-5.79,-35.21,80.6,78,40,10.29,BR,2020-11-07 01:09:36
44,Georgetown,5.41,100.34,80.6,88,20,4.85,MY,2020-11-07 01:04:29
45,Mahon,39.89,4.27,66.2,88,1,16.11,ES,2020-11-07 01:09:37
46,Porto Novo,6.5,2.6,82.4,83,40,12.75,BJ,2020-11-07 01:09:37
47,East London,-33.02,27.91,63.52,74,100,8.5,ZA,2020-11-07 01:04:47
48,Southbridge,42.08,-72.03,57.99,64,100,1.01,US,2020-11-07 01:09:16
49,Arraial Do Cabo,-22.97,-42.03,71.6,83,75,9.17,BR,2020-11-07 01:00:38
50,Novyy Urgal,51.07,132.56,22.55,89,100,2.62,RU,2020-11-07 01:09:37
