City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Broome,42.25,-75.83,37.99,74,1,5.82,US,11/4/2020 9:58
1,Verkhoyansk,67.54,133.38,-15.72,87,49,1.86,RU,11/4/2020 9:58
2,Kapaa,22.08,-159.32,78.8,88,40,12.75,US,11/4/2020 9:58
3,Aklavik,68.22,-135.01,6.8,77,2,4.7,CA,11/4/2020 9:58
4,Suzun,53.78,82.31,30.79,91,100,12.46,RU,11/4/2020 9:58
5,Mount Isa,-20.73,139.5,95,16,10,4.7,AU,11/4/2020 9:58
6,Khatanga,71.97,102.5,-5.15,92,69,7.9,RU,11/4/2020 9:58
7,Bluff,-46.6,168.33,57.99,91,37,1.72,NZ,11/4/2020 9:58
8,Yemelyanovo,56.17,92.68,28.4,79,85,13.42,RU,11/4/2020 9:58
9,Karpathos,35.51,27.21,71.6,60,40,31.09,GR,11/4/2020 9:58
10,Guaymas,27.93,-110.9,66.99,36,0,5.01,MX,11/4/2020 9:58
11,Shahrud,36.42,54.98,68.65,23,26,2.59,IR,11/4/2020 9:58
12,Gondar,12.6,37.47,74.95,34,2,5.91,ET,11/4/2020 9:58
13,Rikitea,-23.12,-134.97,72.64,81,93,16.6,PF,11/4/2020 9:58
14,Tilichiki,60.47,166.1,34.54,100,100,28.1,RU,11/4/2020 9:58
15,Tasiilaq,65.61,-37.64,32,97,97,4.7,GL,11/4/2020 9:58
16,Ponta Do Sol,32.67,-17.1,64.4,72,75,19.46,PT,11/4/2020 9:58
17,Bida,9.08,6.02,90.46,29,93,7.54,NG,11/4/2020 9:58
18,Ushuaia,-54.8,-68.3,44.6,65,75,2.24,AR,11/4/2020 9:54
19,Pevek,69.7,170.31,-2.09,88,0,10.09,RU,11/4/2020 9:58
20,Vallenar,-28.57,-70.76,51.31,85,87,2.01,CL,11/4/2020 9:58
21,Puerto Ayora,-0.74,-90.35,68,88,49,4,EC,11/4/2020 9:58
22,Lavrentiya,65.58,-171,16.81,83,0,7.78,RU,11/4/2020 9:58
