City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Amlagora,22.83,87.33,74.84,45,0,4.36,IN,2020-11-06 03:03:36
1,La Ronge,55.1,-105.28,14.0,85,100,9.17,CA,2020-11-06 03:03:36
2,Barrow,71.29,-156.79,15.8,78,20,12.75,US,2020-11-06 03:03:04
3,Alofi,-19.06,-169.92,78.8,69,75,18.34,NU,2020-11-06 03:01:35
4,Benavente,42.0,-5.68,53.01,93,40,8.05,ES,2020-11-06 03:03:36
5,Paamiut,61.99,-49.67,22.35,87,23,11.27,GL,2020-11-06 03:02:13
6,Yarmouth,41.71,-70.23,61.0,93,75,9.17,US,2020-11-06 02:59:57
7,Mana,5.66,-53.78,77.18,88,99,6.71,GF,2020-11-06 03:00:54
8,Ushuaia,-54.8,-68.3,33.98,87,10,3.38,AR,2020-11-06 02:59:35
9,Punta Arenas,-53.15,-70.92,44.6,56,20,8.05,CL,2020-11-06 03:03:37
10,Gizo,-8.1,156.84,85.32,69,96,6.38,SB,2020-11-06 03:00:50
11,Hilo,19.73,-155.09,84.2,54,1,10.29,US,2020-11-06 02:59:51
12,Chokurdakh,70.63,147.92,4.21,95,94,9.26,RU,2020-11-06 03:03:15
13,Coahuayana,18.73,-103.68,76.24,84,36,2.35,MX,2020-11-06 03:03:37
14,Santiago,-33.46,-70.65,64.4,45,0,6.93,CL,2020-11-06 03:01:17
15,Komagane,35.73,137.94,44.6,70,75,3.36,JP,2020-11-06 03:03:37
16,Souillac,-20.52,57.52,73.4,78,75,9.17,MU,2020-11-06 03:03:38
17,Bredasdorp,-34.53,20.04,60.8,77,100,6.93,ZA,2020-11-06 03:01:14
18,Saskylakh,71.92,114.08,8.82,94,100,8.9,RU,2020-11-06 03:03:38
19,Vardo,70.37,31.11,40.8,81,75,17.05,NO,2020-11-06 02:59:55
20,Mayor Pablo Lagerenza,-19.93,-60.77,77.65,32,0,4.32,PY,2020-11-06 03:03:38
21,Santa Cruz,-17.8,-63.17,77.0,57,37,6.93,BO,2020-11-06 03:00:36
22,Guerrero Negro,27.98,-114.06,75.06,55,100,13.38,MX,2020-11-06 03:03:38
23,Cabinda,-5.55,12.2,77.9,87,100,7.9,AO,2020-11-06 03:03:38
24,Mataura,-46.19,168.86,66.11,36,2,1.72,NZ,2020-11-06 03:03:03
25,Vaini,-21.2,-175.2,80.6,69,20,10.29,TO,2020-11-06 02:59:40
26,Gorele,41.03,39.0,59.0,100,75,12.75,TR,2020-11-06 03:03:39
27,Vao,-22.67,167.48,76.14,84,7,7.56,NC,2020-11-06 03:00:50
28,Kapaa,22.08,-159.32,80.6,83,75,9.17,US,2020-11-06 03:03:09
29,Dikson,73.51,80.55,-0.85,91,0,3.31,RU,2020-11-06 02:59:50
30,Avarua,-21.21,-159.78,75.2,83,32,22.26,CK,2020-11-06 03:00:21
31,Hobart,-42.88,147.33,60.8,48,75,14.99,AU,2020-11-06 02:59:26
32,Carnarvon,-24.87,113.63,77.0,69,90,16.11,AU,2020-11-06 03:03:39
33,Kasongo-Lunda,-6.47,16.82,70.97,93,100,1.81,CD,2020-11-06 03:02:08
34,Rikitea,-23.12,-134.97,74.48,71,0,13.02,PF,2020-11-06 02:59:32
35,Ponta Do Sol,32.67,-17.1,60.8,63,40,4.7,PT,2020-11-06 03:03:11
36,Albany,42.6,-73.97,55.0,62,100,2.21,US,2020-11-06 02:59:38
37,Georgetown,5.41,100.34,86.0,79,20,2.24,MY,2020-11-06 03:01:14
38,Chuy,-33.7,-53.46,56.61,93,11,5.61,UY,2020-11-06 03:01:34
39,Vilhena,-12.74,-60.15,75.07,37,100,3.42,BR,2020-11-06 03:03:40
